County name,State,FIPS,Population (2019),,,
Iroquois County, Illinois,17075,"27,114",,,
Jackson County, Illinois,17077,"56,750",,,
Jasper County, Illinois,17079,"9,610",,,
Jefferson County, Illinois,17081,"37,684",,,
Jersey County, Illinois,17083,"21,773",,,
Jo Daviess County, Illinois,17085,"21,235",,,
Johnson County, Illinois,17087,"12,417",,,
Kane County, Illinois,17089,"532,403",,,
Kankakee County, Illinois,17091,"109,862",,,
Kendall County, Illinois,17093,"128,990",,,
Knox County, Illinois,17095,"49,699",,,
Lake County, Illinois,17097,"696,535",,,
LaSalle County, Illinois,17099,"108,669",,,
Lawrence County, Illinois,17101,"15,678",,,
Lee County, Illinois,17103,"34,096",,,
Livingston County, Illinois,17105,"35,648",,,
Logan County, Illinois,17107,"28,618",,,
Macon County, Illinois,17115,"104,009",,,
Macoupin County, Illinois,17117,"44,926",,,
Madison County, Illinois,17119,"262,966",,,
Marion County, Illinois,17121,"37,205",,,
Marshall County, Illinois,17123,"11,438",,,
Mason County, Illinois,17125,"13,359",,,
Massac County, Illinois,17127,"13,772",,,
McDonough County, Illinois,17109,"29,682",,,
McHenry County, Illinois,17111,"307,774",,,
McLean County, Illinois,17113,"171,517",,,
Menard County, Illinois,17129,"12,196",,,
Mercer County, Illinois,17131,"15,437",,,
Monroe County, Illinois,17133,"34,637",,,
Montgomery County, Illinois,17135,"28,414",,,
Morgan County, Illinois,17137,"33,658",,,
Moultrie County, Illinois,17139,"14,501",,,
Ogle County, Illinois,17141,"50,643",,,
Peoria County, Illinois,17143,"179,179",,,
Perry County, Illinois,17145,"20,916",,,
Piatt County, Illinois,17147,"16,344",,,
Pike County, Illinois,17149,"15,561",,,
Pope County, Illinois,17151,"4,177",,,
Pulaski County, Illinois,17153,"5,335",,,
Putnam County, Illinois,17155,"5,739",,,
Randolph County, Illinois,17157,"31,782",,,
Richland County, Illinois,17159,"15,513",,,
Rock Island County, Illinois,17161,"141,879",,,
Saline County, Illinois,17165,"23,491",,,
Sangamon County, Illinois,17167,"194,672",,,
Schuyler County, Illinois,17169,"6,768",,,
Scott County, Illinois,17171,"4,951",,,
Shelby County, Illinois,17173,"21,634",,,
St Clair County, Illinois,17163,"259,686",,,
Stark County, Illinois,17175,"5,342",,,
Stephenson County, Illinois,17177,"44,498",,,
Tazewell County, Illinois,17179,"131,803",,,
Union County, Illinois,17181,"16,653",,,
Vermilion County, Illinois,17183,"75,758",,,
Wabash County, Illinois,17185,"11,520",,,
Warren County, Illinois,17187,"16,844",,,
Washington County, Illinois,17189,"13,887",,,
Wayne County, Illinois,17191,"16,215",,,
White County, Illinois,17193,"13,537",,,
Whiteside County, Illinois,17195,"55,175",,,
Will County, Illinois,17197,"690,743",,,
Williamson County, Illinois,17199,"66,597",,,
Winnebago County, Illinois,17201,"282,572",,,
Woodford County, Illinois,17203,"38,459",,,
Adams County, Indiana,18001,"35,777",,,
Allen County, Indiana,18003,"379,299",,,
Bartholomew County, Indiana,18005,"83,779",,,
Benton County, Indiana,18007,"8,748",,,
Blackford County, Indiana,18009,"11,758",,,
Boone County, Indiana,18011,"67,843",,,
Brown County, Indiana,18013,"15,092",,,
Carroll County, Indiana,18015,"20,257",,,
Cass County, Indiana,18017,"37,689",,,
Clark County, Indiana,18019,"118,302",,,
Clay County, Indiana,18021,"26,225",,,
Clinton County, Indiana,18023,"32,399",,,
Crawford County, Indiana,18025,"10,577",,,
Daviess County, Indiana,18027,"33,351",,,
Dearborn County, Indiana,18029,"49,458",,,
Decatur County, Indiana,18031,"26,559",,,
DeKalb County, Indiana,18033,"43,475",,,
Delaware County, Indiana,18035,"114,135",,,
Dubois County, Indiana,18037,"42,736",,,
Elkhart County, Indiana,18039,"206,341",,,
Fayette County, Indiana,18041,"23,102",,,
Floyd County, Indiana,18043,"78,522",,,
Fountain County, Indiana,18045,"16,346",,,
Franklin County, Indiana,18047,"22,758",,,
Fulton County, Indiana,18049,"19,974",,,
Gibson County, Indiana,18051,"33,659",,,
Grant County, Indiana,18053,"65,769",,,
Greene County, Indiana,18055,"31,922",,,
Hamilton County, Indiana,18057,"338,011",,,
Hancock County, Indiana,18059,"78,168",,,
Harrison County, Indiana,18061,"40,515",,,
Hendricks County, Indiana,18063,"170,311",,,
Henry County, Indiana,18065,"47,972",,,
Howard County, Indiana,18067,"82,544",,,
Huntington County, Indiana,18069,"36,520",,,
Jackson County, Indiana,18071,"44,231",,,
Jasper County, Indiana,18073,"33,562",,,
Jay County, Indiana,18075,"20,436",,,
Jefferson County, Indiana,18077,"32,308",,,
Jennings County, Indiana,18079,"27,735",,,
Johnson County, Indiana,18081,"158,167",,,
Knox County, Indiana,18083,"36,594",,,
Kosciusko County, Indiana,18085,"79,456",,,
LaGrange County, Indiana,18087,"39,614",,,
Lake County, Indiana,18089,"485,493",,,
LaPorte County, Indiana,18091,"109,888",,,
Lawrence County, Indiana,18093,"45,370",,,
Madison County, Indiana,18095,"129,569",,,
Marion County, Indiana,18097,"964,582",,,
Marshall County, Indiana,18099,"46,258",,,
Martin County, Indiana,18101,"10,255",,,
Miami County, Indiana,18103,"35,516",,,
Monroe County, Indiana,18105,"148,431",,,
Montgomery County, Indiana,18107,"38,338",,,
Morgan County, Indiana,18109,"70,489",,,
Newton County, Indiana,18111,"13,984",,,
Noble County, Indiana,18113,"47,744",,,
Ohio County, Indiana,18115,"5,875",,,
Orange County, Indiana,18117,"19,646",,,
Owen County, Indiana,18119,"20,799",,,
Parke County, Indiana,18121,"16,937",,,
Perry County, Indiana,18123,"19,169",,,
Pike County, Indiana,18125,"12,389",,,
Porter County, Indiana,18127,"170,389",,,
Posey County, Indiana,18129,"25,427",,,
Pulaski County, Indiana,18131,"12,353",,,
Putnam County, Indiana,18133,"37,576",,,
Randolph County, Indiana,18135,"24,665",,,
Ripley County, Indiana,18137,"28,324",,,
Rush County, Indiana,18139,"16,581",,,
Scott County, Indiana,18143,"23,873",,,
Shelby County, Indiana,18145,"44,729",,,
Spencer County, Indiana,18147,"20,277",,,
St Joseph County, Indiana,18141,"271,826",,,
Starke County, Indiana,18149,"22,995",,,
Steuben County, Indiana,18151,"34,594",,,
Sullivan County, Indiana,18153,"20,669",,,
Switzerland County, Indiana,18155,"10,751",,,
Tippecanoe County, Indiana,18157,"195,732",,,
Tipton County, Indiana,18159,"15,148",,,
Union County, Indiana,18161,"7,054",,,
Vanderburgh County, Indiana,18163,"181,451",,,
Vermillion County, Indiana,18165,"15,498",,,
Vigo County, Indiana,18167,"107,038",,,
Wabash County, Indiana,18169,"30,996",,,
Warren County, Indiana,18171,"8,265",,,
Warrick County, Indiana,18173,"62,998",,,
Washington County, Indiana,18175,"28,036",,,
Wayne County, Indiana,18177,"65,884",,,
Wells County, Indiana,18179,"28,296",,,
White County, Indiana,18181,"24,102",,,
Whitley County, Indiana,18183,"33,964",,,
Adair County, Iowa,19001,"7,152",,,
Adams County, Iowa,19003,"3,602",,,
Allamakee County, Iowa,19005,"13,687",,,
Appanoose County, Iowa,19007,"12,426",,,
Audubon County, Iowa,19009,"5,496",,,
Benton County, Iowa,19011,"25,645",,,
Black Hawk County, Iowa,19013,"131,228",,,
Boone County, Iowa,19015,"26,234",,,
Bremer County, Iowa,19017,"25,062",,,
Buchanan County, Iowa,19019,"21,175",,,
Buena Vista County, Iowa,19021,"19,620",,,
Butler County, Iowa,19023,"14,439",,,
Calhoun County, Iowa,19025,"9,668",,,
Carroll County, Iowa,19027,"20,165",,,
Cass County, Iowa,19029,"12,836",,,
Cedar County, Iowa,19031,"18,627",,,
Cerro Gordo County, Iowa,19033,"42,450",,,
Cherokee County, Iowa,19035,"11,235",,,
Chickasaw County, Iowa,19037,"11,933",,,
Clarke County, Iowa,19039,"9,395",,,
Clay County, Iowa,19041,"16,016",,,
Clayton County, Iowa,19043,"17,549",,,
Clinton County, Iowa,19045,"46,429",,,
Crawford County, Iowa,19047,"16,820",,,
Dallas County, Iowa,19049,"93,453",,,
Davis County, Iowa,19051,"9,000",,,
Decatur County, Iowa,19053,"7,870",,,
Delaware County, Iowa,19055,"17,011",,,
Des Moines County, Iowa,19057,"38,967",,,
Dickinson County, Iowa,19059,"17,258",,,
Dubuque County, Iowa,19061,"97,311",,,
Emmet County, Iowa,19063,"9,208",,,
Fayette County, Iowa,19065,"19,650",,,
Floyd County, Iowa,19067,"15,642",,,
Franklin County, Iowa,19069,"10,070",,,
Fremont County, Iowa,19071,"6,960",,,
Greene County, Iowa,19073,"8,888",,,
Grundy County, Iowa,19075,"12,232",,,
Guthrie County, Iowa,19077,"10,689",,,
Hamilton County, Iowa,19079,"14,773",,,
Hancock County, Iowa,19081,"10,630",,,
Hardin County, Iowa,19083,"16,846",,,
Harrison County, Iowa,19085,"14,049",,,
Henry County, Iowa,19087,"19,954",,,
Howard County, Iowa,19089,"9,158",,,
Humboldt County, Iowa,19091,"9,558",,,
Ida County, Iowa,19093,"6,860",,,
Iowa County, Iowa,19095,"16,184",,,
Jackson County, Iowa,19097,"19,439",,,
Jasper County, Iowa,19099,"37,185",,,
Jefferson County, Iowa,19101,"18,295",,,
Johnson County, Iowa,19103,"151,140",,,
Jones County, Iowa,19105,"20,681",,,
Keokuk County, Iowa,19107,"10,246",,,
Kossuth County, Iowa,19109,"14,813",,,
Lee County, Iowa,19111,"33,657",,,
Linn County, Iowa,19113,"226,706",,,
Louisa County, Iowa,19115,"11,035",,,
Lucas County, Iowa,19117,"8,600",,,
Lyon County, Iowa,19119,"11,755",,,
Madison County, Iowa,19121,"16,338",,,
Mahaska County, Iowa,19123,"22,095",,,
Marion County, Iowa,19125,"33,253",,,
Marshall County, Iowa,19127,"39,369",,,
Mills County, Iowa,19129,"15,109",,,
Mitchell County, Iowa,19131,"10,586",,,
Monona County, Iowa,19133,"8,615",,,
Monroe County, Iowa,19135,"7,707",,,
Montgomery County, Iowa,19137,"9,917",,,
Muscatine County, Iowa,19139,"42,664",,,
O'Brien County, Iowa,19141,"13,753",,,
Osceola County, Iowa,19143,"5,958",,,
Page County, Iowa,19145,"15,107",,,
Palo Alto County, Iowa,19147,"8,886",,,
Plymouth County, Iowa,19149,"25,177",,,
Pocahontas County, Iowa,19151,"6,619",,,
Polk County, Iowa,19153,"490,161",,,
Pottawattamie County, Iowa,19155,"93,206",,,
Poweshiek County, Iowa,19157,"18,504",,,
Ringgold County, Iowa,19159,"4,894",,,
Sac County, Iowa,19161,"9,721",,,
Scott County, Iowa,19163,"172,943",,,
Shelby County, Iowa,19165,"11,454",,,
Sioux County, Iowa,19167,"34,855",,,
Story County, Iowa,19169,"97,117",,,
Tama County, Iowa,19171,"16,854",,,
Taylor County, Iowa,19173,"6,121",,,
Union County, Iowa,19175,"12,241",,,
Van Buren County, Iowa,19177,"7,044",,,
Wapello County, Iowa,19179,"34,969",,,
Warren County, Iowa,19181,"51,466",,,
Washington County, Iowa,19183,"21,965",,,
Wayne County, Iowa,19185,"6,441",,,
Webster County, Iowa,19187,"35,904",,,
Winnebago County, Iowa,19189,"10,354",,,
Winneshiek County, Iowa,19191,"19,991",,,
Woodbury County, Iowa,19193,"103,107",,,
Worth County, Iowa,19195,"7,381",,,
Wright County, Iowa,19197,"12,562",,,
Allen County, Kansas,20001,"12,369",,,
Anderson County, Kansas,20003,"7,858",,,
Atchison County, Kansas,20005,"16,073",,,
Barber County, Kansas,20007,"4,427",,,
Barton County, Kansas,20009,"25,779",,,
Bourbon County, Kansas,20011,"14,534",,,
Brown County, Kansas,20013,"9,564",,,
Butler County, Kansas,20015,"66,911",,,
Chase County, Kansas,20017,"2,648",,,
Chautauqua County, Kansas,20019,"3,250",,,
Cherokee County, Kansas,20021,"19,939",,,
Cheyenne County, Kansas,20023,"2,657",,,
Clark County, Kansas,20025,"1,994",,,
Clay County, Kansas,20027,"8,002",,,
Cloud County, Kansas,20029,"8,786",,,
Coffey County, Kansas,20031,"8,179",,,
Comanche County, Kansas,20033,"1,700",,,
Cowley County, Kansas,20035,"34,908",,,
Crawford County, Kansas,20037,"38,818",,,
Decatur County, Kansas,20039,"2,827",,,
Dickinson County, Kansas,20041,"18,466",,,
Doniphan County, Kansas,20043,"7,600",,,
Douglas County, Kansas,20045,"122,259",,,
Edwards County, Kansas,20047,"2,798",,,
Elk County, Kansas,20049,"2,530",,,
Ellis County, Kansas,20051,"28,553",,,
Ellsworth County, Kansas,20053,"6,102",,,
Finney County, Kansas,20055,"36,467",,,
Ford County, Kansas,20057,"33,619",,,
Franklin County, Kansas,20059,"25,544",,,
Geary County, Kansas,20061,"31,670",,,
Gove County, Kansas,20063,"2,636",,,
Graham County, Kansas,20065,"2,482",,,
Grant County, Kansas,20067,"7,150",,,
Gray County, Kansas,20069,"5,988",,,
Greeley County, Kansas,20071,"1,232",,,
Greenwood County, Kansas,20073,"5,982",,,
Hamilton County, Kansas,20075,"2,539",,,
Harper County, Kansas,20077,"5,436",,,
Harvey County, Kansas,20079,"34,429",,,
Haskell County, Kansas,20081,"3,968",,,
Hodgeman County, Kansas,20083,"1,794",,,
Jackson County, Kansas,20085,"13,171",,,
Jefferson County, Kansas,20087,"19,043",,,
Jewell County, Kansas,20089,"2,879",,,
Johnson County, Kansas,20091,"602,401",,,
Kearny County, Kansas,20093,"3,838",,,
Kingman County, Kansas,20095,"7,152",,,
Kiowa County, Kansas,20097,"2,475",,,
Labette County, Kansas,20099,"19,618",,,
Lane County, Kansas,20101,"1,535",,,
Leavenworth County, Kansas,20103,"81,758",,,
Lincoln County, Kansas,20105,"2,962",,,
Linn County, Kansas,20107,"9,703",,,
Logan County, Kansas,20109,"2,794",,,
Lyon County, Kansas,20111,"33,195",,,
Marion County, Kansas,20115,"11,884",,,
Marshall County, Kansas,20117,"9,707",,,
McPherson County, Kansas,20113,"28,542",,,
Meade County, Kansas,20119,"4,033",,,
Miami County, Kansas,20121,"34,237",,,
Mitchell County, Kansas,20123,"5,979",,,
Montgomery County, Kansas,20125,"31,829",,,
Morris County, Kansas,20127,"5,620",,,
Morton County, Kansas,20129,"2,587",,,
Nemaha County, Kansas,20131,"10,231",,,
Neosho County, Kansas,20133,"16,007",,,
Ness County, Kansas,20135,"2,750",,,
Norton County, Kansas,20137,"5,361",,,
Osage County, Kansas,20139,"15,949",,,
Osborne County, Kansas,20141,"3,421",,,
Ottawa County, Kansas,20143,"5,704",,,
Pawnee County, Kansas,20145,"6,414",,,
Phillips County, Kansas,20147,"5,234",,,
Pottawatomie County, Kansas,20149,"24,383",,,
Pratt County, Kansas,20151,"9,164",,,
Rawlins County, Kansas,20153,"2,530",,,
Reno County, Kansas,20155,"61,998",,,
Republic County, Kansas,20157,"4,636",,,
Rice County, Kansas,20159,"9,537",,,
Riley County, Kansas,20161,"74,232",,,
Rooks County, Kansas,20163,"4,920",,,
Rush County, Kansas,20165,"3,036",,,
Russell County, Kansas,20167,"6,856",,,
Saline County, Kansas,20169,"54,224",,,
Scott County, Kansas,20171,"4,823",,,
Sedgwick County, Kansas,20173,"516,042",,,
Seward County, Kansas,20175,"21,428",,,
Shawnee County, Kansas,20177,"176,875",,,
Sheridan County, Kansas,20179,"2,521",,,
Sherman County, Kansas,20181,"5,917",,,
Smith County, Kansas,20183,"3,583",,,
Stafford County, Kansas,20185,"4,156",,,
Stanton County, Kansas,20187,"2,006",,,
Stevens County, Kansas,20189,"5,485",,,
Sumner County, Kansas,20191,"22,836",,,
Thomas County, Kansas,20193,"7,777",,,
Trego County, Kansas,20195,"2,803",,,
Wabaunsee County, Kansas,20197,"6,931",,,
Wallace County, Kansas,20199,"1,518",,,
Washington County, Kansas,20201,"5,406",,,
Wichita County, Kansas,20203,"2,119",,,
Wilson County, Kansas,20205,"8,525",,,
Woodson County, Kansas,20207,"3,138",,,
Wyandotte County, Kansas,20209,"165,429",,,
Adair County, Kentucky,21001,"19,202",,,
Allen County, Kentucky,21003,"21,315",,,
Anderson County, Kentucky,21005,"22,747",,,
Ballard County, Kentucky,21007,"7,888",,,
Barren County, Kentucky,21009,"44,249",,,
Bath County, Kentucky,21011,"12,500",,,
Bell County, Kentucky,21013,"26,032",,,
Boone County, Kentucky,21015,"133,581",,,
Bourbon County, Kentucky,21017,"19,788",,,
Boyd County, Kentucky,21019,"46,718",,,
Boyle County, Kentucky,21021,"30,060",,,
Bracken County, Kentucky,21023,"8,303",,,
Breathitt County, Kentucky,21025,"12,630",,,
Breckinridge County, Kentucky,21027,"20,477",,,
Bullitt County, Kentucky,21029,"81,676",,,
Butler County, Kentucky,21031,"12,879",,,
Caldwell County, Kentucky,21033,"12,747",,,
Calloway County, Kentucky,21035,"39,001",,,
Campbell County, Kentucky,21037,"93,584",,,
Carlisle County, Kentucky,21039,"4,760",,,
Carroll County, Kentucky,21041,"10,631",,,
Carter County, Kentucky,21043,"26,797",,,
Casey County, Kentucky,21045,"16,159",,,
Christian County, Kentucky,21047,"70,461",,,
Clark County, Kentucky,21049,"36,263",,,
Clay County, Kentucky,21051,"19,901",,,
Clinton County, Kentucky,21053,"10,218",,,
Crittenden County, Kentucky,21055,"8,806",,,
Cumberland County, Kentucky,21057,"6,614",,,
Daviess County, Kentucky,21059,"101,511",,,
Edmonson County, Kentucky,21061,"12,150",,,
Elliott County, Kentucky,21063,"7,517",,,
Estill County, Kentucky,21065,"14,106",,,
Fayette County, Kentucky,21067,"323,152",,,
Fleming County, Kentucky,21069,"14,581",,,
Floyd County, Kentucky,21071,"35,589",,,
Franklin County, Kentucky,21073,"50,991",,,
Fulton County, Kentucky,21075,"5,969",,,
Gallatin County, Kentucky,21077,"8,869",,,
Garrard County, Kentucky,21079,"17,666",,,
Grant County, Kentucky,21081,"25,069",,,
Graves County, Kentucky,21083,"37,266",,,
Grayson County, Kentucky,21085,"26,427",,,
Green County, Kentucky,21087,"10,941",,,
Greenup County, Kentucky,21089,"35,098",,,
Hancock County, Kentucky,21091,"8,722",,,
Hardin County, Kentucky,21093,"110,958",,,
Harlan County, Kentucky,21095,"26,010",,,
Harrison County, Kentucky,21097,"18,886",,,
Hart County, Kentucky,21099,"19,035",,,
Henderson County, Kentucky,21101,"45,210",,,
Henry County, Kentucky,21103,"16,126",,,
Hickman County, Kentucky,21105,"4,380",,,
Hopkins County, Kentucky,21107,"44,686",,,
Jackson County, Kentucky,21109,"13,329",,,
Jefferson County, Kentucky,21111,"766,757",,,
Jessamine County, Kentucky,21113,"54,115",,,
Johnson County, Kentucky,21115,"22,188",,,
Kenton County, Kentucky,21117,"166,998",,,
Knott County, Kentucky,21119,"14,806",,,
Knox County, Kentucky,21121,"31,145",,,
Larue County, Kentucky,21123,"14,398",,,
Laurel County, Kentucky,21125,"60,813",,,
Lawrence County, Kentucky,21127,"15,317",,,
Lee County, Kentucky,21129,"7,403",,,
Leslie County, Kentucky,21131,"9,877",,,
Letcher County, Kentucky,21133,"21,553",,,
Lewis County, Kentucky,21135,"13,275",,,
Lincoln County, Kentucky,21137,"24,549",,,
Livingston County, Kentucky,21139,"9,194",,,
Logan County, Kentucky,21141,"27,102",,,
Lyon County, Kentucky,21143,"8,210",,,
Madison County, Kentucky,21151,"92,987",,,
Magoffin County, Kentucky,21153,"12,161",,,
Marion County, Kentucky,21155,"19,273",,,
Marshall County, Kentucky,21157,"31,100",,,
Martin County, Kentucky,21159,"11,195",,,
Mason County, Kentucky,21161,"17,070",,,
McCracken County, Kentucky,21145,"65,418",,,
McCreary County, Kentucky,21147,"17,231",,,
McLean County, Kentucky,21149,"9,207",,,
Meade County, Kentucky,21163,"28,572",,,
Menifee County, Kentucky,21165,"6,489",,,
Mercer County, Kentucky,21167,"21,933",,,
Metcalfe County, Kentucky,21169,"10,071",,,
Monroe County, Kentucky,21171,"10,650",,,
Montgomery County, Kentucky,21173,"28,157",,,
Morgan County, Kentucky,21175,"13,309",,,
Muhlenberg County, Kentucky,21177,"30,622",,,
Nelson County, Kentucky,21179,"46,233",,,
Nicholas County, Kentucky,21181,"7,269",,,
Ohio County, Kentucky,21183,"23,994",,,
Oldham County, Kentucky,21185,"66,799",,,
Owen County, Kentucky,21187,"10,901",,,
Owsley County, Kentucky,21189,"4,415",,,
Pendleton County, Kentucky,21191,"14,590",,,
Perry County, Kentucky,21193,"25,758",,,
Pike County, Kentucky,21195,"57,876",,,
Powell County, Kentucky,21197,"12,359",,,
Pulaski County, Kentucky,21199,"64,979",,,
Robertson County, Kentucky,21201,"2,108",,,
Rockcastle County, Kentucky,21203,"16,695",,,
Rowan County, Kentucky,21205,"24,460",,,
Russell County, Kentucky,21207,"17,923",,,
Scott County, Kentucky,21209,"57,004",,,
Shelby County, Kentucky,21211,"49,024",,,
Simpson County, Kentucky,21213,"18,572",,,
Spencer County, Kentucky,21215,"19,351",,,
Taylor County, Kentucky,21217,"25,769",,,
Todd County, Kentucky,21219,"12,294",,,
Trigg County, Kentucky,21221,"14,651",,,
Trimble County, Kentucky,21223,"8,471",,,
Union County, Kentucky,21225,"14,381",,,
Warren County, Kentucky,21227,"132,896",,,
Washington County, Kentucky,21229,"12,095",,,
Wayne County, Kentucky,21231,"20,333",,,
Webster County, Kentucky,21233,"12,942",,,
Whitley County, Kentucky,21235,"36,264",,,
Wolfe County, Kentucky,21237,"7,157",,,
Woodford County, Kentucky,21239,"26,734",,,
Acadia Parish, Louisiana,22001,"62,045",,,
Allen Parish, Louisiana,22003,"25,627",,,
Ascension Parish, Louisiana,22005,"126,604",,,
Assumption Parish, Louisiana,22007,"21,891",,,
Avoyelles Parish, Louisiana,22009,"40,144",,,
Beauregard Parish, Louisiana,22011,"37,497",,,
Bienville Parish, Louisiana,22013,"13,241",,,
Bossier Parish, Louisiana,22015,"127,039",,,
Caddo Parish, Louisiana,22017,"240,204",,,
Calcasieu Parish, Louisiana,22019,"203,436",,,
Caldwell Parish, Louisiana,22021,"9,918",,,
Cameron Parish, Louisiana,22023,"6,973",,,
Catahoula Parish, Louisiana,22025,"9,494",,,
Claiborne Parish, Louisiana,22027,"15,670",,,
Concordia Parish, Louisiana,22029,"19,259",,,
De Soto Parish, Louisiana,22031,"27,463",,,
East Baton Rouge Parish, Louisiana,22033,"440,059",,,
East Carroll Parish, Louisiana,22035,"6,861",,,
East Feliciana Parish, Louisiana,22037,"19,135",,,
Evangeline Parish, Louisiana,22039,"33,395",,,
Franklin Parish, Louisiana,22041,"20,015",,,
Grant Parish, Louisiana,22043,"22,389",,,
Iberia Parish, Louisiana,22045,"69,830",,,
Iberville Parish, Louisiana,22047,"32,511",,,
Jackson Parish, Louisiana,22049,"15,744",,,
Jefferson Davis Parish, Louisiana,22051,"31,368",,,
Jefferson Parish, Louisiana,22053,"432,493",,,
Lafayette Parish, Louisiana,22055,"244,390",,,
Lafourche Parish, Louisiana,22057,"97,614",,,
LaSalle Parish, Louisiana,22059,"14,892",,,
Lincoln Parish, Louisiana,22061,"46,742",,,
Livingston Parish, Louisiana,22063,"140,789",,,
Madison Parish, Louisiana,22065,"10,951",,,
Morehouse Parish, Louisiana,22067,"24,874",,,
Natchitoches Parish, Louisiana,22069,"38,158",,,
Orleans Parish, Louisiana,22071,"390,144",,,
Ouachita Parish, Louisiana,22073,"153,279",,,
Plaquemines Parish, Louisiana,22075,"23,197",,,
Pointe Coupee Parish, Louisiana,22077,"21,730",,,
Rapides Parish, Louisiana,22079,"129,648",,,
Red River Parish, Louisiana,22081,"8,442",,,
Richland Parish, Louisiana,22083,"20,122",,,
Sabine Parish, Louisiana,22085,"23,884",,,
St Bernard Parish, Louisiana,22087,"47,244",,,
St Charles Parish, Louisiana,22089,"53,100",,,
St Helena Parish, Louisiana,22091,"10,132",,,
St James Parish, Louisiana,22093,"21,096",,,
St John the Baptist Parish, Louisiana,22095,"42,837",,,
St Landry Parish, Louisiana,22097,"82,124",,,
St Martin Parish, Louisiana,22099,"53,431",,,
St Mary Parish, Louisiana,22101,"49,348",,,
St Tammany Parish, Louisiana,22103,"260,419",,,
Tangipahoa Parish, Louisiana,22105,"134,758",,,
Tensas Parish, Louisiana,22107,"4,334",,,
Terrebonne Parish, Louisiana,22109,"110,461",,,
Union Parish, Louisiana,22111,"22,108",,,
Vermilion Parish, Louisiana,22113,"59,511",,,
Vernon Parish, Louisiana,22115,"47,429",,,
Washington Parish, Louisiana,22117,"46,194",,,
Webster Parish, Louisiana,22119,"38,340",,,
West Baton Rouge Parish, Louisiana,22121,"26,465",,,
West Carroll Parish, Louisiana,22123,"10,830",,,
West Feliciana Parish, Louisiana,22125,"15,568",,,
Winn Parish, Louisiana,22127,"13,904",,,
Androscoggin County, Maine,23001,"108,277",,,
Aroostook County, Maine,23003,"67,055",,,
Cumberland County, Maine,23005,"295,003",,,
Franklin County, Maine,23007,"30,199",,,
Hancock County, Maine,23009,"54,987",,,
Kennebec County, Maine,23011,"122,302",,,
Knox County, Maine,23013,"39,772",,,
Lincoln County, Maine,23015,"34,634",,,
Oxford County, Maine,23017,"57,975",,,
Penobscot County, Maine,23019,"152,148",,,
Piscataquis County, Maine,23021,"16,785",,,
Sagadahoc County, Maine,23023,"35,856",,,
Somerset County, Maine,23025,"50,484",,,
Waldo County, Maine,23027,"39,715",,,
Washington County, Maine,23029,"31,379",,,
York County, Maine,23031,"207,641",,,
Allegany County, Maryland,24001,"70,416",,,
Anne Arundel County, Maryland,24003,"579,234",,,
Baltimore city, Maryland,24005,"593,490",,,
Baltimore County, Maryland,24510,"827,370",,,
Calvert County, Maryland,24009,"92,525",,,
Caroline County, Maryland,24011,"33,406",,,
Carroll County, Maryland,24013,"168,447",,,
Cecil County, Maryland,24015,"102,855",,,
Charles County, Maryland,24017,"163,257",,,
Dorchester County, Maryland,24019,"31,929",,,
Frederick County, Maryland,24021,"259,547",,,
Garrett County, Maryland,24023,"29,014",,,
Harford County, Maryland,24025,"255,441",,,
Howard County, Maryland,24027,"325,690",,,
Kent County, Maryland,24029,"19,422",,,
Montgomery County, Maryland,24031,"1,050,688",,,
Prince George's County, Maryland,24033,"909,327",,,
Queen Anne's County, Maryland,24035,"50,381",,,
Somerset County, Maryland,24039,"25,616",,,
St Mary's County, Maryland,24037,"113,510",,,
Talbot County, Maryland,24041,"37,181",,,
Washington County, Maryland,24043,"151,049",,,
Wicomico County, Maryland,24045,"103,609",,,
Worcester County, Maryland,24047,"52,276",,,
Barnstable County, Massachusetts,25001,"212,990",,,
Berkshire County, Massachusetts,25003,"124,944",,,
Bristol County, Massachusetts,25005,"565,217",,,
Dukes County, Massachusetts,25007,"17,332",,,
Essex County, Massachusetts,25009,"789,034",,,
Franklin County, Massachusetts,25011,"70,180",,,
Hampden County, Massachusetts,25013,"466,372",,,
Hampshire County, Massachusetts,25015,"160,830",,,
Middlesex County, Massachusetts,25017,"1,611,699",,,
Nantucket County, Massachusetts,25019,"11,399",,,
Norfolk County, Massachusetts,25021,"706,775",,,
Plymouth County, Massachusetts,25023,"521,202",,,
Suffolk County, Massachusetts,25025,"803,907",,,
Worcester County, Massachusetts,25027,"830,622",,,
Alcona County, Michigan,26001,"10,405",,,
Alger County, Michigan,26003,"9,108",,,
Allegan County, Michigan,26005,"118,081",,,
Alpena County, Michigan,26007,"28,405",,,
Antrim County, Michigan,26009,"23,324",,,
Arenac County, Michigan,26011,"14,883",,,
Baraga County, Michigan,26013,"8,209",,,
Barry County, Michigan,26015,"61,550",,,
Bay County, Michigan,26017,"103,126",,,
Benzie County, Michigan,26019,"17,766",,,
Berrien County, Michigan,26021,"153,401",,,
Branch County, Michigan,26023,"43,517",,,
Calhoun County, Michigan,26025,"134,159",,,
Cass County, Michigan,26027,"51,787",,,
Charlevoix County, Michigan,26029,"26,143",,,
Cheboygan County, Michigan,26031,"25,276",,,
Chippewa County, Michigan,26033,"37,349",,,
Clare County, Michigan,26035,"30,950",,,
Clinton County, Michigan,26037,"79,595",,,
Crawford County, Michigan,26039,"14,029",,,
